MES,TIPO_DE_CONTRATO,IMPORTE_ADJUDICACION_IVA_INC
2025-07,SUMINISTROS,6283.76
2025-08,SUMINISTROS,886.07
2025-09,SERVICIOS,8815.78
2025-10,SERVICIOS,42105.58
2025-11,SERVICIOS,132607.57
2025-11,OBRAS,102785.43
2025-11,SUMINISTROS,66478.45
2025-12,SERVICIOS,742756.88
2025-12,SUMINISTROS,270525.02
2026-01,SERVICIOS,483909.02
2026-01,SUMINISTROS,171853.44999999998
2026-01,OBRAS,55091.3
2026-02,SERVICIOS,1359184.0
2026-02,SUMINISTROS,744215.07
2026-02,OBRAS,38824.67
2026-03,SERVICIOS,1866522.76
2026-03,SUMINISTROS,672127.4
2026-03,OBRAS,66630.13
